Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,235,1,Apr 8,NYY,,BOS,W6-5,GS-4,,99,4.0,4,3,3,1,3,1,1,6.75,6.36,17,68,42,8,11,4,8,3,1,0,44,,,0,0,0,15,1,0,0,1,0,0,.88,-0.106,.86,-0.06%,-1.09,5.40,12.00,1t start tie,4t 3 out d1
2,236,6,Apr 13,NYY,,TOR,L4-6,GS-6,,4,5.2,4,3,3,1,6,2,0,5.59,6.22,22,85,54,14,16,6,9,4,0,0,54,,,0,0,0,21,2,0,0,0,0,0,.72,-0.108,.74,-0.07%,-0.49,15.75,26.00,1t start tie,6t --3 2 out tie
3,237,11,Apr 19,NYY,@,DET,W4-2,GS-2,,5,1.2,1,2,2,5,3,0,0,6.35,6.55,11,68,37,9,9,0,3,2,0,0,43,,,0,0,0,5,0,0,0,0,1,0,1.49,-0.183,1.45,-0.11%,-1.83,2.15,8.00,1b start a 2,2b 123 2 out a1
4,238,16,Apr 24,NYY,,CLE,W10-2,GS-7,W(1-0),4,6.2,4,0,0,1,9,0,0,4.00,4.45,24,92,66,19,12,6,8,4,1,0,74,,,0,0,0,23,0,0,0,1,0,0,.42,0.180,.45,0.12%,3.12,34.00,57.00,1t start tie,7t 1-- 2 out a8
5,239,21,Apr 30,NYY,@,KCR,W3-0,GS-6,W(2-0),5,6.0,5,0,0,2,6,0,0,3.00,3.86,26,91,57,18,9,9,9,5,1,0,66,,,0,0,0,24,1,0,0,0,0,1,1.14,0.312,1.30,0.21%,2.93,25.30,46.00,1b start tie,6b 3 out a3
6,240,26,May 8(1),NYY,,TEX,W2-1,GS-7,,7,6.1,5,1,1,1,10,1,0,2.67,3.57,25,114,76,17,21,5,9,3,1,0,68,,,0,0,0,24,1,0,0,0,0,0,1.13,0.186,1.36,0.13%,2.09,28.65,50.00,1t start tie,7t --- 1 out tie
7,241,32,May 13,NYY,@,CHW,W10-4,GS-7,W(3-0),4,6.1,6,3,3,1,9,1,0,2.95,3.44,27,97,71,19,17,11,6,2,0,0,57,,,0,0,0,26,1,0,0,0,0,0,.77,0.108,.90,0.08%,0.16,26.05,47.00,1b start a 2,7b --- 1 out a4
8,242,37,May 18,NYY,@,BAL,W3-2,GS-7,W(4-0),4,7.0,6,2,2,0,5,0,0,2.89,3.16,27,97,70,20,14,9,13,7,3,0,62,,,0,0,0,27,2,0,0,1,0,0,1.12,0.196,1.13,0.12%,1.38,22.15,40.00,1b start a 3,7b 3 out a1
9,243,42,May 23,NYY,,BAL,L4-6,GS-8,L(4-1),4,8.0,8,5,5,0,11,1,0,3.31,2.98,32,110,77,17,17,8,13,5,1,0,57,,,1,0,0,32,2,0,0,0,0,0,.91,-0.246,.97,-0.16%,-1.18,25.20,42.00,1t start tie,8t 3 out d1
10,244,47,May 28,NYY,@,TBR,L1-3,GS-6,,4,6.0,2,1,1,3,10,0,0,3.12,2.80,23,105,63,15,20,4,6,0,2,0,71,,,0,0,0,20,0,0,0,0,0,0,1.15,0.170,1.29,0.11%,1.70,28.50,49.00,1b start a 1,6b 3 out tie
